OBJECTID,Shape,NAME,URL,LINE
783,"(40.71058233300005, -73.79285699999991)",169th St & Hillside Ave At Se Corner,http://www.mta.info/nyct/service/,F
784,"(40.71250033200005, -73.78508899999991)",179th St & Hillside Ave At Nw Corner,http://www.mta.info/nyct/service/,F
785,"(40.71223433300008, -73.78497999899992)",179th St & Hillside Ave At Sw Corner,http://www.mta.info/nyct/service/,F
786,"(40.712653335000084, -73.7844199999999)",179th St & Hillside Ave At Ne Corner,http://www.mta.info/nyct/service/,F
787,"(40.712699333000046, -73.78426599999995)",179th St & Hillside Ave At Ne Corner,http://www.mta.info/nyct/service/,F
788,"(40.71256333200006, -73.78362199799994)",179th Pl & Hillside Ave At Sw Corner,http://www.mta.info/nyct/service/,F
789,"(40.71294033300006, -73.78317899799993)",180th St & Hillside Ave At Nw Corner,http://www.mta.info/nyct/service/,F
790,"(40.71320033300009, -73.7822149989999)",Midland Pkwy & Hillside Ave At Ne Corner,http://www.mta.info/nyct/service/,F
791,"(40.580495334000034, -73.83748899699992)",Beach 116th St & Wainwright Ct At Ne Corner,http://www.mta.info/nyct/service/,A-S
792,"(40.58339833500008, -73.82754600099992)",Beach 106th St & Rockaway Frwy At Sw Corner,http://www.mta.info/nyct/service/,A-S
793,"(40.583197332000054, -73.82712399899992)",Beach 106th St & Rockaway Frwy At Sw Corner,http://www.mta.info/nyct/service/,A-S
794,"(40.58369533300004, -73.8264119989999)",Beach 106th St & Rockaway Frwy At Nw Corner,http://www.mta.info/nyct/service/,A-S
795,"(40.58532833400005, -73.8201799979999)",Beach 98th St & Rockaway Frwy At Sw Corner,http://www.mta.info/nyct/service/,A-S
796,"(40.58800933300006, -73.81420399799993)",Beach 90th St & Rockaway Frwy At Ne Corner,http://www.mta.info/nyct/service/,A-S
797,"(40.58813233400008, -73.81381300099991)",Beach 89th St & Rockaway Frwy At Nw Corner,http://www.mta.info/nyct/service/,A-S
798,"(40.59067433100006, -73.79777999799995)",Beach 67th St & Rockaway Frwy At Nw Corner,http://www.mta.info/nyct/service/,A
799,"(40.590881333000084, -73.79614999799992)",Beach 67th St & Rockaway Frwy At Sw Corner,http://www.mta.info/nyct/service/,A
800,"(40.59222333300005, -73.78958499999993)",Beach 60th St & Rockaway Frwy At Se Corner,http://www.mta.info/nyct/service/,A
801,"(40.59250733400006, -73.7894429989999)",Beach 60th St & Rockaway Frwy At Ne Corner,http://www.mta.info/nyct/service/,A
802,"(40.59250633400006, -73.78906899799995)",Beach 59th Sr & Rockaway Frwy At Nw Corner,http://www.mta.info/nyct/service/,A
803,"(40.59221833400005, -73.78734899999995)",Beach 59th St & Rockaway Frwy At Se Corner,http://www.mta.info/nyct/service/,A
804,"(40.59288533200004, -73.77561899799991)",Beach 44th St & Edgemere Ave At Sw Corner,http://www.mta.info/nyct/service/,A
805,"(40.59313733300007, -73.7756609999999)",Beach 44th St & Edgemere Ave At Nw Corner,http://www.mta.info/nyct/service/,A
806,"(40.59552933300006, -73.7682879969999)",Beach 36th & Edgemere Ave At Ne Corner,http://www.mta.info/nyct/service/,A
807,"(40.59566033200008, -73.76801199699992)",Beach 35th & Rockaway Frwy At Nw Corner,http://www.mta.info/nyct/service/,A
808,"(40.67683433500008, -73.89917999999994)",Georgia Av & Fulton St At Sw Corner,http://www.mta.info/nyct/service/,J
809,"(40.68731736800004, -73.9747574079999)",South Portland Ave & Fulton St At Nw Corner,http://www.mta.info/nyct/service/,G
810,"(40.68708062500008, -73.97470890799991)",South Portland Ave & Fulton St At Sw Corner,http://www.mta.info/nyct/service/,G
811,"(40.67673533200008, -73.86549099799993)",Grant Ave & Pitkin Ave At Ne Corner,http://www.mta.info/nyct/service/,A-S
812,"(40.67917033300006, -73.86006299999991)",77th St & Liberty Ave At Se Corner,http://www.mta.info/nyct/service/,A-S
813,"(40.68961533200007, -73.87357899999995)",Crescent St & Jamaica Ave At Ne Corner,http://www.mta.info/nyct/service/,J
814,"(40.69264833400007, -73.85907899799992)",85th St & Jamaica Ave At Ne Corner,http://www.mta.info/nyct/service/,J
815,"(40.66021733100007, -73.83043799799992)",103rd St & 159th Ave At Se Corner,http://www.mta.info/nyct/service/,A
816,"(40.67929733400007, -73.85768700099993)",80th St & Liberty Ave At Se Corner,http://www.mta.info/nyct/service/,A-S
817,"(40.65901427600005, -73.89933376099992)",Van Sinderen Ave & New Lots Ave At Sw Corner,http://www.mta.info/nyct/service/,L
818,"(40.66861094300003, -73.90192123499992)",Lirr Bay Ridge Divide & Sutter Ave At Nw Corner,http://www.mta.info/nyct/service/,L
819,"(40.68712543500004, -73.97671090999995)",Fort Greene Pl & Lafayette Ave At Nw Corner,http://www.mta.info/nyct/service/,G
