time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2017-03-10T03:41:52.560Z,-2.2941,138.8406,54.21,4.6,mb,,128.0,6.614,0.87,us,us1000882g,2017-03-10T04:01:37.040Z,"197km W of Abepura, Indonesia",earthquake,13.4,9.5,0.105,27.0,reviewed,us,us
2017-03-09T17:20:26.510Z,-10.4482,161.3269,60.15,4.9,mb,,98.0,1.689,0.67,us,us100087y0,2017-03-09T20:29:03.040Z,"64km W of Kirakira, Solomon Islands",earthquake,7.8,6.4,0.051,123.0,reviewed,us,us
2017-03-09T16:38:14.490Z,-4.6332,129.6254,149.84,4.9,mb,,26.0,3.122,0.83,us,us100087xt,2017-03-16T21:20:43.040Z,"159km SE of Saparua, Indonesia",earthquake,5.9,6.4,0.061,83.0,reviewed,us,us
2017-03-09T13:35:16.880Z,-4.9229,155.1309,77.09,4.8,mb,,118.0,3.0460000000000003,1.1,us,us100087xg,2017-03-09T13:52:03.040Z,"149km NNW of Arawa, Papua New Guinea",earthquake,7.0,10.4,0.139,16.0,reviewed,us,us
2017-03-09T13:29:27.180Z,12.0428,-69.6011,16.78,4.8,mb,,25.0,0.609,0.95,us,us100087xb,2017-03-10T14:31:27.650Z,"59km WSW of Dorp Soto, Curaçao",earthquake,4.9,3.8,0.057999999999999996,92.0,reviewed,us,us
2017-03-09T13:03:39.140Z,21.753166699999998,-156.8668333,31.965999999999998,4.71,ml,30.0,231.0,0.6314,0.19,hv,hv61636051,2017-03-10T00:13:35.090Z,"58km NNE of Kualapu'u, Hawaii",earthquake,0.48,0.94,0.16399999999999998,52.0,reviewed,hv,hv
2017-03-09T11:14:26.430Z,-60.1464,150.2962,10.0,5.9,mww,,96.0,7.346,0.84,us,us100087wv,2017-03-09T19:41:24.040Z,West of Macquarie Island,earthquake,10.5,1.9,,,reviewed,us,us
2017-03-09T02:26:19.090Z,52.1101,178.3848,121.92,5.3,mb,,35.0,2.694,0.7,us,us100087v3,2017-03-09T18:27:48.040Z,"19km NNW of Little Sitkin Island, Alaska",earthquake,7.9,4.4,0.025,536.0,reviewed,us,us
2017-03-08T20:44:40.390Z,-6.4476,155.4956,137.72,4.6,mb,,71.0,4.003,0.79,us,us100087sf,2017-03-08T21:31:32.040Z,"14km S of Panguna, Papua New Guinea",earthquake,9.3,6.4,0.057999999999999996,87.0,reviewed,us,us
2017-03-08T14:03:30.740Z,-54.0472,-133.8839,10.0,5.1,mb,,59.0,29.079,0.62,us,us100087pr,2017-03-08T14:52:42.040Z,Pacific-Antarctic Ridge,earthquake,12.2,1.8,0.062,84.0,reviewed,us,us
2017-03-08T11:52:00.200Z,31.6863,141.9388,10.0,4.7,mb,,122.0,2.293,0.7,us,us100087p9,2017-03-08T12:22:44.040Z,"253km SE of Hachijo-jima, Japan",earthquake,8.0,1.9,0.075,53.0,reviewed,us,us
2017-03-08T10:06:46.060Z,4.0713,126.2356,57.99,4.5,mb,,112.0,3.049,0.68,us,us100087pj,2017-03-08T14:06:13.040Z,"170km SSE of Sarangani, Philippines",earthquake,6.4,7.9,0.094,33.0,reviewed,us,us
2017-03-08T07:30:43.160Z,-6.2976,147.5833,55.17,4.7,mb,,105.0,3.115,1.26,us,us100087nd,2017-03-08T07:47:29.238Z,"46km NW of Finschhafen, Papua New Guinea",earthquake,9.9,8.0,0.092,36.0,reviewed,us,us
2017-03-08T03:39:45.730Z,15.9509,-93.4277,103.52,4.7,mb,,129.0,1.2830000000000001,0.93,us,us100087m8,2017-03-08T03:54:46.040Z,"14km NE of Tres Picos, Mexico",earthquake,7.6,7.3,0.037000000000000005,226.0,reviewed,us,us
2017-03-08T01:38:45.090Z,2.2976,128.6049,65.72,5.6,mb,,51.0,1.956,0.98,us,us100087lk,2017-03-08T03:41:49.395Z,"91km NE of Tobelo, Indonesia",earthquake,7.4,6.6,0.044000000000000004,178.0,reviewed,us,us
2017-03-07T23:38:23.890Z,-15.038,168.0581,12.51,5.6,mww,,102.0,5.76,1.02,us,us100087kn,2017-03-08T16:26:34.040Z,"108km E of Port-Olry, Vanuatu",earthquake,8.8,4.2,,,reviewed,us,us
2017-03-07T22:10:51.930Z,24.2928,122.1634,54.59,4.9,mb,,72.0,0.532,0.89,us,us100087k6,2017-03-12T10:56:18.598Z,"46km SE of Su'ao, Taiwan",earthquake,3.2,5.4,0.053,112.0,reviewed,us,us
2017-03-07T19:51:54.500Z,39.8478,143.07299999999998,26.53,4.7,mb,,136.0,1.8,0.68,us,us100087jh,2017-03-16T19:16:09.040Z,"98km ENE of Miyako, Japan",earthquake,7.0,5.5,0.052000000000000005,111.0,reviewed,us,us
2017-03-07T16:22:25.930Z,36.6582,84.9521,13.87,4.7,mb,,125.0,10.03,0.46,us,us100087hb,2017-03-07T20:16:43.040Z,"171km SSW of Qiemo, China",earthquake,9.5,3.4,0.083,44.0,reviewed,us,us
2017-03-07T16:08:19.020Z,41.5343,141.903,55.19,5.7,mww,,108.0,0.976,0.53,us,us100087h5,2017-03-07T23:43:25.676Z,"63km ENE of Mutsu, Japan",earthquake,6.8,4.7,,,reviewed,us,us
2017-03-07T15:45:39.560Z,-6.2429,102.1762,10.0,5.3,mww,,24.0,2.024,0.71,us,us100087gx,2017-03-07T22:48:52.040Z,"220km SW of Kuripan, Indonesia",earthquake,7.1,1.7,,,reviewed,us,us
2017-03-07T14:23:52.630Z,51.9354,178.4471,102.79,4.9,mb,,113.0,2.727,0.66,us,us100087gj,2017-03-13T18:03:01.236Z,"4km WSW of Little Sitkin Island, Alaska",earthquake,7.9,5.3,0.035,252.0,reviewed,us,us
2017-03-07T12:31:03.270Z,0.7988,123.8316,264.7,4.5,mb,,62.0,2.113,1.12,us,us100087g7,2017-03-07T12:53:39.040Z,"21km WSW of Lolak, Indonesia",earthquake,6.4,7.2,0.07400000000000001,54.0,reviewed,us,us
2017-03-07T11:03:34.220Z,-37.5503,179.3484,10.0,4.9,mwr,,154.0,0.828,0.74,us,us100087fn,2017-03-07T12:33:36.040Z,"169km NE of Gisborne, New Zealand",earthquake,7.7,1.8,0.098,10.0,reviewed,us,us
2017-03-07T10:55:40.630Z,-22.8706,171.2884,35.0,5.4,mb,,33.0,3.555,1.06,us,us100087fm,2017-03-07T11:16:04.040Z,"94km SW of Ile Hunter, New Caledonia",earthquake,7.9,1.9,0.040999999999999995,206.0,reviewed,us,us
2017-03-07T09:46:03.670Z,-5.996,153.7755,10.0,4.8,mb,,50.0,2.406,0.84,us,us100087fg,2017-03-07T13:23:30.040Z,"188km SSE of Taron, Papua New Guinea",earthquake,8.3,1.9,0.07,62.0,reviewed,us,us
2017-03-06T23:45:19.420Z,-5.7548,151.7173,10.0,4.6,mb,,68.0,1.615,1.2,us,us100087d9,2017-03-11T23:56:23.040Z,"166km SSW of Kokopo, Papua New Guinea",earthquake,5.5,1.9,0.065,71.0,reviewed,us,us
2017-03-06T19:25:59.300Z,-31.19,-179.87900000000002,384.38,4.9,mb,,107.0,2.57,0.71,us,us100087cq,2017-03-06T19:58:52.040Z,"97km WNW of L'Esperance Rock, New Zealand",earthquake,8.3,5.7,0.068,68.0,reviewed,us,us
2017-03-06T18:18:02.700Z,-24.0057,179.015,565.23,5.0,mb,,62.0,5.891,1.05,us,us100087c9,2017-03-06T18:55:34.040Z,South of the Fiji Islands,earthquake,10.4,6.1,0.055,105.0,reviewed,us,us
2017-03-06T17:55:07.380Z,-21.021,-178.78900000000002,610.81,4.6,mb,,94.0,4.416,0.71,us,us100087c2,2017-03-06T20:31:10.040Z,"42km SSW of Ndoi Island, Fiji",earthquake,15.3,8.7,0.068,65.0,reviewed,us,us
2017-03-06T17:30:50.090Z,60.8729,167.2543,18.05,5.2,mb,,48.0,7.23,1.01,us,us100087br,2017-03-06T19:02:29.040Z,"77km NE of Tilichiki, Russia",earthquake,7.5,3.7,0.027000000000000003,454.0,reviewed,us,us
2017-03-06T16:25:39.840Z,1.2018,126.5381,39.93,4.6,mb,,88.0,0.932,0.89,us,us100087aq,2017-03-06T17:57:57.040Z,"103km WNW of Kota Ternate, Indonesia",earthquake,7.0,7.7,0.081,45.0,reviewed,us,us
